,ewm,ewm_clust,minvec,minvec_clust,minvec_min,cbowukwacsubtitle,cbowsubtitle,cbowBNCwikiukwac,TASA,glove,SemDis_MEAN,novelty_1,novelty_2,novelty_m,flex_1,flex_2,flex_method_avg,originality,fluency
ewm,0,,,,,,,,,,,,,,,,,,
ewm_clust,0,0,,,,,,,,,,,,,,,,,
minvec,0,0,0,,,,,,,,,,,,,,,,
minvec_clust,0,0,0,0,,,,,,,,,,,,,,,
minvec_min,0.0014,0.0225,0.1206,0.7397,0,,,,,,,,,,,,,,
cbowukwacsubtitle,0,0,0,0.0001,0.0003,0,,,,,,,,,,,,,
cbowsubtitle,0,0,0,0.0001,0.0001,0,0,,,,,,,,,,,,
cbowBNCwikiukwac,0,0,0,0.0001,0.0002,0,0,0,,,,,,,,,,,
TASA,0,0,0,0,0.0296,0,0,0,0,,,,,,,,,,
glove,0,0,0,0.0132,0.0005,0,0,0,0,0,,,,,,,,,
SemDis_MEAN,0,0,0,0.0001,0.0002,0,0,0,0,0,0,,,,,,,,
novelty_1,0.0013,0,0,0,0.001,0.0478,0.0652,0.0504,0.0002,0.3132,0.0406,0,,,,,,,
novelty_2,0.0005,0,0,0,0.019,0.0206,0.0418,0.019,0,0.2314,0.0162,0,0,,,,,,
novelty_m,0.0005,0,0,0,0.0037,0.0263,0.0449,0.026,0,0.2541,0.0212,0,0,0,,,,,
flex_1,0.4546,0.23,0.0057,0.0003,0,0.7661,0.3619,0.7663,0.2715,0.4636,0.7215,0,0,0,0,,,,
flex_2,0.4546,0.23,0.0057,0.0003,0,0.7661,0.3619,0.7663,0.2715,0.4636,0.7215,0,0,0,0,0,,,
flex_method_avg,0.0726,0.1642,0.0121,0.0053,0.9171,0.2714,0.247,0.2457,0.1224,0.5232,0.2608,0.0612,0.0201,0.0299,0,0,0,,
originality,0,0.0003,0.0001,0.0039,0.0059,0,0,0,0.0051,0.0003,0,0.4911,0.5135,0.4883,0.7988,0.7988,0.1894,0,
fluency,0.4799,0.1482,0.0122,0.0001,0.0002,0.5485,0.4311,0.4434,0.4074,0.1501,0.464,0,0,0,0,0,0,0.6526,0
