,ewm,ewm_clust,minvec,minvec_clust,minvec_min,cbowukwacsubtitle,cbowsubtitle,cbowBNCwikiukwac,TASA,glove,SemDis_MEAN,novelty_1,novelty_2,novelty_m,flex_1,flex_2,flex_m,flex_method,originality,fluency
ewm,1,,,,,,,,,,,,,,,,,,,
ewm_clust,0.606187326,1,,,,,,,,,,,,,,,,,,
minvec,0.820710306,0.662602399,1,,,,,,,,,,,,,,,,,
minvec_clust,0.452458786,0.903347007,0.661871762,1,,,,,,,,,,,,,,,,
minvec_min,0.271296279,0.171776775,0.195353338,-0.011432763,1,,,,,,,,,,,,,,,
cbowukwacsubtitle,0.75432583,0.462421398,0.641490894,0.324672048,0.357165531,1,,,,,,,,,,,,,,
cbowsubtitle,0.737842301,0.416821178,0.659880293,0.287206791,0.414860771,0.922139838,1,,,,,,,,,,,,,
cbowBNCwikiukwac,0.745645568,0.399329798,0.662692445,0.239656748,0.403299312,0.896509628,0.932061703,1,,,,,,,,,,,,
TASA,0.760697341,0.533609275,0.742122378,0.418942094,0.243023486,0.80175301,0.798549661,0.816356037,1,,,,,,,,,,,
glove,0.626558605,0.351371016,0.476455969,0.194696912,0.373250146,0.877983986,0.856587045,0.850450524,0.725016545,1,,,,,,,,,,
SemDis_MEAN,0.761740287,0.450403216,0.656966257,0.299710096,0.386969439,0.966180182,0.960551204,0.953302039,0.861184706,0.936641161,1,,,,,,,,,
novelty_1,0.336108971,0.409646539,0.512641611,0.524128142,-0.365379358,0.209220748,0.195213994,0.206883772,0.387826475,0.107507506,0.216337785,1,,,,,,,,
novelty_2,0.359708055,0.455786894,0.594351104,0.593400722,-0.260810171,0.243805969,0.215002562,0.246913212,0.463272645,0.127421753,0.252940742,0.874066885,1,,,,,,,
novelty_m,0.359548566,0.447295524,0.572281315,0.577648439,-0.32281089,0.234207849,0.212006088,0.234638562,0.440068348,0.121466758,0.242614473,0.96724052,0.968760356,1,,,,,,
flex_1,0.076675918,0.142920852,0.291259262,0.333711803,-0.428767212,-0.031786979,-0.097246371,-0.031760962,0.117147999,-0.078231824,-0.038092013,0.567588297,0.531049927,0.567252477,1,,,,,
flex_2,0.076675918,0.142920852,0.291259262,0.333711803,-0.428767212,-0.031786979,-0.097246371,-0.031760962,0.117147999,-0.078231824,-0.038092013,0.567588297,0.531049927,0.567252477,1,1,,,,
flex_m,0.076675918,0.142920852,0.291259262,0.333711803,-0.428767212,-0.031786979,-0.097246371,-0.031760962,0.117147999,-0.078231824,-0.038092013,0.567588297,0.531049927,0.567252477,1,1,1,,,
flex_method,0.264165506,0.180175568,0.3317135,0.247765323,0.077485858,0.16944842,0.163700083,0.172123609,0.231431639,0.111988162,0.172163607,0.181871622,0.230979272,0.213543706,0.43081105,0.43081105,0.43081105,1,,
originality,0.459759104,0.404720442,0.324505102,0.271635187,0.280517457,0.305890645,0.302544774,0.272212489,0.236444529,0.204233696,0.279651783,-0.037867678,0.001731348,-0.018426328,-0.101286457,-0.101286457,-0.101286457,0.069239239,1,
fluency,0.077910961,0.144164179,0.266995013,0.319929132,-0.353604472,-0.064072351,-0.08401245,-0.081804102,0.088402667,-0.152948328,-0.078168589,0.432215015,0.480046962,0.471493796,0.692599409,0.692599409,0.692599409,0.699001224,-0.123932781,1
