id,flex_1,flex_2,flex_method_avg
1087,3,3,2.75
1093,2,2,2.5
1094,2,2,2.0
1102,3,3,3.5
1104,1,1,2.0
1118,2,2,2.5
1121,2,2,3.25
1123,2,2,2.0
1129,1,1,1.5
1133,3,3,4.25
1138,3,3,3.0
1141,2,2,2.5
1147,3,3,2.0
1159,2,2,3.25
1162,2,2,1.75
1163,1,1,2.0
1174,2,2,2.0
1176,3,3,2.0
1180,1,1,2.75
1186,3,3,4.25
1192,2,2,1.75
1193,3,3,2.5
1194,2,2,2.25
1195,2,2,2.0
1205,1,1,2.5
1209,3,3,4.25
1221,2,2,2.75
1226,3,3,3.75
1228,3,3,3.5
1230,2,2,2.5
1258,1,1,2.25
1286,2,2,1.75
1320,2,2,3.0
1328,1,1,3.25
1330,2,2,3.25
1334,1,1,2.5
1347,3,3,3.75
1352,1,1,1.75
1362,1,1,1.5
1366,1,1,3.25
1367,1,1,2.25
1372,2,2,3.0
1373,2,2,3.0
1382,3,3,4.5
1402,1,1,2.0
1407,2,2,1.75
1413,2,2,3.0
1417,2,2,2.75
1425,2,2,1.5
1440,3,3,3.25
1442,3,3,4.25
1449,2,2,3.5
1450,1,1,2.5
1453,1,1,1.25
1458,2,2,2.25
1460,3,3,3.0
1461,3,3,5.0
1463,2,2,2.75
1464,1,1,3.0
1466,1,1,3.25
1472,3,3,2.5
1488,3,3,3.25
1497,2,2,2.25
1500,2,2,3.25
1503,2,2,2.25
1506,2,2,3.25
1507,1,1,2.5
1511,2,2,5.0
1513,2,2,3.5
1514,2,2,3.5
1518,2,2,3.0
1525,2,2,3.0
1526,2,2,3.25
1527,2,2,2.0
1528,2,2,2.25
1531,2,2,2.0
1533,2,2,3.25
1543,4,4,4.0
1547,1,1,2.25
1551,2,2,2.75
1559,1,1,3.0
1563,1,1,2.5
1587,2,2,2.25
1598,2,2,1.5
1599,1,1,2.25
1603,2,2,4.5
1610,2,2,3.5
1614,2,2,2.5
1621,1,1,1.75
