id,flex_1,flex_2,flex_m,flex_method
1087,2,2,2.0,4
1093,3,3,3.0,2
1094,1,1,1.0,2
1102,2,2,2.0,2
1104,2,2,2.0,3
1118,3,3,3.0,3
1121,1,1,1.0,2
1123,2,2,2.0,3
1129,1,1,1.0,3
1133,3,3,3.0,3
1138,1,1,1.0,1
1141,2,2,2.0,3
1147,2,2,2.0,2
1159,2,2,2.0,2
1162,1,1,1.0,2
1163,1,1,1.0,2
1174,1,1,1.0,2
1176,2,2,2.0,3
1180,2,2,2.0,3
1186,5,5,5.0,4
1192,2,2,2.0,3
1193,2,2,2.0,2
1194,1,1,1.0,3
1195,3,3,3.0,5
1205,2,2,2.0,3
1209,3,3,3.0,3
1221,3,3,3.0,4
1226,3,3,3.0,5
1228,3,3,3.0,5
1230,2,2,2.0,3
1258,3,3,3.0,3
1286,3,3,3.0,2
1320,2,2,2.0,3
1328,2,2,2.0,4
1330,3,3,3.0,2
1334,1,1,1.0,3
1347,4,4,4.0,5
1352,2,2,2.0,4
1362,2,2,2.0,3
1366,1,1,1.0,2
1367,3,3,3.0,4
1372,1,1,1.0,3
1373,2,2,2.0,3
1382,2,2,2.0,3
1402,1,1,1.0,2
1407,1,1,1.0,1
1413,3,3,3.0,4
1417,3,3,3.0,4
1425,1,1,1.0,3
1440,1,1,1.0,3
1442,3,3,3.0,4
1449,2,2,2.0,4
1450,2,2,2.0,2
1453,1,1,1.0,3
1458,1,1,1.0,3
1460,3,3,3.0,3
1461,3,3,3.0,2
1463,4,4,4.0,2
1464,1,1,1.0,3
1466,1,1,1.0,2
1472,2,2,2.0,3
1488,3,3,3.0,4
1497,1,1,1.0,3
1500,1,1,1.0,3
1503,2,2,2.0,3
1506,1,1,1.0,3
1507,2,2,2.0,3
1511,2,2,2.0,4
1513,1,1,1.0,4
1514,4,4,4.0,5
1518,2,2,2.0,4
1525,1,1,1.0,3
1526,3,3,3.0,5
1527,1,1,1.0,2
1528,1,1,1.0,2
1531,2,2,2.0,5
1533,1,1,1.0,3
1543,3,3,3.0,5
1547,1,1,1.0,3
1551,2,2,2.0,2
1559,3,3,3.0,5
1563,1,1,1.0,3
1587,4,4,4.0,4
1598,1,1,1.0,3
1599,2,2,2.0,2
1603,2,2,2.0,3
1610,1,1,1.0,4
1614,2,2,2.0,5
1621,1,1,1.0,4
1622,3,3,3.0,2
